Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Funkcionális programozás gyakorlat,2025-09-02,08:00,2025-09-02,10:00,False,Tárgykód: IP-18FUNPEG, Déli Tömb 00-503 (PC8)
Imperatív programozás előadás,2025-09-01,10:00,2025-09-01,12:00,False,Oktató: Porkoláb Zoltán, Déli Tömb 0-822 Mogyoródi József terem
Jogi ismeretek előadás,2025-09-02,10:00,2025-09-02,12:00,False,Oktató: Vincellér Zoltán, Déli Tömb 0-821 Bolyai János terem
Matematikai alapok gyakorlat,2025-09-04,10:00,2025-09-04,12:00,False,Tárgykód: IP-18MATAG, Déli Tömb 5-202
Programozás gyakorlat,2025-09-01,12:00,2025-09-01,13:00,False,Oktató: Baksza Dávid, Déli Tömb 00-112 (Interaktív tábla)
Programozás gyakorlat,2025-09-01,13:00,2025-09-01,16:00,False,Oktató: Baksza Dávid, Déli Tömb 00-503 (PC8)
Számítógépes rendszerek gyakorlat,2025-09-02,15:00,2025-09-02,16:30,False,Oktató: Klettner Péter, Déli Tömb 2-218 Komputer Algebra Labor
Imperatív programozás gyakorlat,2025-09-02,12:00,2025-09-02,15:00,False,Tárgykód: IP-18IMPROGEG, Déli Tömb 00-410 (PC1)
Számítógépes rendszerek előadás,2025-09-03,14:00,2025-09-03,16:00,False,Oktató: Bakonyi Viktória, Déli Tömb 0-821 Bolyai János terem
Programozás előadás,2025-09-03,16:00,2025-09-03,17:30,False,Oktató: Horváth Győző, Déli Tömb 0-822 Mogyoródi József terem
Matematikai alapok gyakorlat,2025-09-03,10:00,2025-09-03,12:00,False,Tárgykód: IP-18MATAG, Déli Tömb 0-411 (Interaktív tábla)
Egyetemi alapozó és tanulásmódszertani kurzus,2025-09-03,12:00,2025-09-03,13:00,False,Tárgykód: IP-18TMKG, Déli Tömb 0-411 (Interaktív tábla)
Funkcionális programozás előadás,2025-09-04,08:00,2025-09-04,10:00,False,Oktató: Horváth Zoltán, Déli Tömb 0-822 Mogyoródi József terem
Funkcionális programozás előadás,2025-09-04,08:00,2025-09-04,10:00,False,Oktató: Bozó István, Déli Tömb 0-822 Mogyoródi József terem
